file_name,file_urls
Yennett Cryptic Sovereign,https://deckstats.net/decks/122426/1172246-yennett-cryptic-sovereign/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Zirda, the Dawnwaker | Boros Control | EDH",https://deckstats.net/decks/96866/2599920-zirda-the-dawnwaker-boros-cont/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Legends of Brothers War - EDH Theme Deck,https://deckstats.net/decks/96866/2839582-legends-of-brothers-war-edh-th/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"EDH - Hanna, Artifact & Enchantment destroy , vigilance to beat",https://deckstats.net/decks/96866/2860936-edh-hanna-artifact-enchantment/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Copy of: [[Primer]] - Sliver Overlord, The Godfather (cEDH) | Join us on Discord!",https://deckstats.net/decks/182959/2886564-copy-of-primer-sliver-overlord/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
The Old Man and the Sea (Runo Stromkirk Reanimator),https://deckstats.net/decks/162172/2295089-the-old-man-and-the-sea-runo-s/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
The Ur-Dragon Commander,https://deckstats.net/decks/4956/1893489-the-ur-dragon-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Get a Clue,https://deckstats.net/decks/14296/2268814-get-a-clue/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Ur-Dragon, Need to update lands + color enablers",https://deckstats.net/decks/144689/2213433-ur-dragon-need-to-update-lands/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Tuvasa's Enchanted Pillow Fort,https://deckstats.net/decks/100887/1061963-tuvasa-s-enchanted-pillow-fort/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Gishath Dino Tribal,https://deckstats.net/decks/137953/1370570-gishath-dino-tribal/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Copy of: Green Vanilla (Best Ice Cream),https://deckstats.net/decks/221058/2884790-copy-of-green-vanilla-best-ice/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Maelstrom Wanderer, the Battlecruiser main",https://deckstats.net/decks/66331/2114559-maelstrom-wanderer-the-battlec/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Maelstrom Wanderer Centurion 1v1,https://deckstats.net/decks/66331/2879919-maelstrom-wanderer-centurion-1/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Yes, It Is Still My Turn",https://deckstats.net/decks/39709/843174-yes-it-is-still-my-turn/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Copy of: Lathliss The new Mono-red dragon commander,https://deckstats.net/decks/222520/2884552-copy-of-lathliss-the-new-mono-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander: Empress Galina,https://deckstats.net/decks/1835/845006-commander-empress-galina/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
War politics,https://deckstats.net/decks/221400/2882758-war-politics/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Ho Ho Ho! Now Glissa has a machine gun!,https://deckstats.net/decks/60920/2165866-ho-ho-ho-now-glissa-has-a-mach/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Utopian Draconom(wall)icon,https://deckstats.net/decks/9282/347720-utopian-draconom-wall-icon/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Breya 5,https://deckstats.net/decks/30816/2118955-breya-5-0-mh2-erweiterung/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
